Key,Values
G1i_,"[(0.0004052827581185192-5.75793389127641e-17j), (3.6795376858259066e-13-2.5087621393188295e-17j), (1.839456728212549e-13-1.660436270866848e-17j), (-6.570120975046834e-10+4.507648644643401e-17j), (-1.6059744679941534e-17-2.7307981772807717e-18j), (-2.190025556736419e-10+1.254642436754381e-16j), (-2.0623558199747705e-17-4.8848058974196167e-17j), (2.033095913844818e-15-1.1567772232396715e-17j), (-5.964467201385881e-17+7.126417060245619e-17j), (-1.769570411426849e-16+4.9420137307552153e-17j), (1.0286910212542466e-15-4.049722040965946e-17j), (-1.845176572298768e-17-3.7440115306203037e-17j), (-6.591949208711867e-17-1.495504360166591e-17j), (-2.2737074809736635e-16-5.40645168620371e-17j), (1.2836953722228372e-16-5.072549627964783e-17j), (-2.5360166440793752e-17-3.069961188512579e-17j), (8.413408858487514e-17-1.396565733758993e-17j), (3.981732478453015e-17-9.129524953187911e-17j), (7.28583859910259e-17+1.7379156406837654e-17j), (-4.1714678586379783e-17-4.121621803784482e-18j), (-2.3589528767853363e-16-1.3267810079148992e-16j), (-1.0408340855860843e-17+6.225750095142971e-17j), (-6.136923109446857e-17-1.7294339054895986e-17j), (7.45931094670027e-17+2.2616241435286494e-17j), (-1.205056833399748e-16+2.432538540609769e-17j), (-5.204170427930421e-18-6.511523713590715e-17j), (-7.006656539687572e-17-2.8941966006220384e-17j), (-7.849623728795052e-17+2.0157886652438662e-17j), (-4.1518166942616785e-17+4.925488521846345e-17j), (7.32920668600201e-17-6.21851385431593e-17j), (1.4995871298190133e-17-8.683749380015927e-18j), (-8.196568423990414e-17-1.0524597672068586e-16j), (7.57552386706356e-17+4.4457121703698225e-18j), (-4.336808689942018e-18-3.1866958628006426e-17j), (1.0747154034762563e-17+9.306359609663909e-17j)]"
G2a,"[(0.5000325791027881+3.207767920818687e-17j), (-0.259549882122236+2.7575825184256888e-17j), (-0.09013653043960915-5.513446284019818e-17j), (-9.702190409228479e-06+1.626902130601689e-17j), (0.051221115588487215+4.467970538114714e-17j), (1.2376997187208344e-06+2.1691360539328924e-16j), (0.017923198607349523-1.4818653332263826e-16j), (5.20877435947405e-06+8.068451102189341e-17j), (-0.02270751044864149+7.708204922415213e-17j), (-0.003403237435466568+5.453322515790304e-17j), (4.78378425833618e-07-7.199175173074466e-17j), (-0.007972306865646454-2.9753493083358946e-18j), (-3.301173080425771e-06-1.6053280037038238e-17j), (0.013479646186842557-1.271518154154865e-16j), (-1.3682137175973187e-06-1.5486820219379404e-16j), (0.0015367773370571491+1.2338234199252299e-16j), (-6.800851764123984e-07-2.3309281836137344e-17j), (0.00485474016011727-1.3644310362673783e-17j), (2.1937771741866904e-06-1.20362205462815e-16j), (-0.009395364608889746-4.3351499762770186e-17j), (-0.0007502725699281671+8.325108665966792e-17j), (1.2237036987044099e-06-6.41445537474115e-17j), (-0.0010269242230964981-4.0114413710571506e-17j), (5.576047513076652e-07-3.8367675865513504e-17j), (-0.0036182762798658663-8.129773723523972e-17j), (-1.4050388364887712e-06-2.339870739819274e-16j), (0.007180438822195118-2.168496643835525e-16j), (-1.1190696461335854e-06+1.6406009515736526e-16j), (0.0005688922792949055-1.0544777828103155e-16j), (-9.696196976660362e-07-4.4949145086006277e-17j), (0.0009158238830149042-2.228983489387366e-16j), (-4.261757036670684e-07-1.6345734174563611e-16j), (0.003250439449117848-5.025230186399451e-17j), (8.043480067226304e-07-5.1945804345163594e-17j), (-0.004407513137540749+1.2433027423939527e-16j)]"
G2b,(-0.8791578033438728+9.522777504801583e-18j)
G2c,"[(0.5000325791027881+3.207767920818687e-17j), (-0.259549882122236+2.7575825184256888e-17j), (-0.09013653043960915-5.513446284019818e-17j), (-9.702190409228479e-06+1.626902130601689e-17j), (0.051221115588487215+4.467970538114714e-17j), (1.2376997187208344e-06+2.1691360539328924e-16j), (0.017923198607349523-1.4818653332263826e-16j), (5.20877435947405e-06+8.068451102189341e-17j), (-0.02270751044864149+7.708204922415213e-17j), (-0.003403237435466568+5.453322515790304e-17j), (4.78378425833618e-07-7.199175173074466e-17j), (-0.007972306865646454-2.9753493083358946e-18j), (-3.301173080425771e-06-1.6053280037038238e-17j), (0.013479646186842557-1.271518154154865e-16j), (-1.3682137175973187e-06-1.5486820219379404e-16j), (0.0015367773370571491+1.2338234199252299e-16j), (-6.800851764123984e-07-2.3309281836137344e-17j), (0.00485474016011727-1.3644310362673783e-17j), (2.1937771741866904e-06-1.20362205462815e-16j), (-0.009395364608889746-4.3351499762770186e-17j), (-0.0007502725699281671+8.325108665966792e-17j), (1.2237036987044099e-06-6.41445537474115e-17j), (-0.0010269242230964981-4.0114413710571506e-17j), (5.576047513076652e-07-3.8367675865513504e-17j), (-0.0036182762798658663-8.129773723523972e-17j), (-1.4050388364887712e-06-2.339870739819274e-16j), (0.007180438822195118-2.168496643835525e-16j), (-1.1190696461335854e-06+1.6406009515736526e-16j), (0.0005688922792949055-1.0544777828103155e-16j), (-9.696196976660362e-07-4.4949145086006277e-17j), (0.0009158238830149042-2.228983489387366e-16j), (-4.261757036670684e-07-1.6345734174563611e-16j), (0.003250439449117848-5.025230186399451e-17j), (8.043480067226304e-07-5.1945804345163594e-17j), (-0.004407513137540749+1.2433027423939527e-16j)]"
G2a_,"[(-0.4999674208972121-2.0104645100420796e-17j), (-0.25954988212223584+5.904558503522926e-18j), (-0.09013653043960898-1.1171761557914322e-16j), (-9.702190409223746e-06-1.0615954979818588e-16j), (0.051221115588487194-7.707619858897501e-17j), (1.237699719063843e-06-2.810358309342554e-16j), (0.01792319860734978-1.382660834443959e-16j), (5.208774359473139e-06-8.177241929515022e-18j), (-0.02270751044864145+1.1185242606285137e-17j), (-0.003403237435466299+1.1073700449107706e-16j), (4.783784261322115e-07+1.1458656831831989e-16j), (-0.007972306865646483+8.654822549959417e-17j), (-3.301173080588263e-06+8.316830586869391e-17j), (0.013479646186842222+4.937273075384324e-17j), (-1.3682137175753221e-06+3.0859391601759594e-16j), (0.0015367773370573562+1.854549399422044e-16j), (-6.800851764876005e-07+6.38142617067879e-17j), (0.00485474016011731+2.7724333718723082e-17j), (2.193777174164006e-06+1.3657092360782924e-16j), (-0.00939536460888966-1.0091906003050431e-16j), (-0.0007502725699275283+6.762377494659351e-16j), (1.2237036988873508e-06+3.439040672097872e-16j), (-0.0010269242230964528+3.795864645650507e-18j), (5.57604751255593e-07-9.856131807580728e-18j), (-0.0036182762798659986+3.663442135268221e-17j), (-1.405038836382605e-06+7.717919902191271e-17j), (0.007180438822194999-1.8323939703650187e-16j), (-1.1190696461977233e-06+2.295594888277881e-16j), (0.0005688922792946229-1.5977777541969667e-18j), (-9.69619697849314e-07+4.3730272649392455e-17j), (0.0009158238830149451+4.882695247174237e-17j), (-4.261757038683156e-07+5.144179821441285e-17j), (0.0032504394491175547-1.51787835317262e-16j), (8.043480066143423e-07-1.2542702259593137e-16j), (-0.004407513137540873-1.674614060439193e-16j)]"
G2b_,(-0.8788778033438726+9.522777504801583e-18j)
G2d,"[(0.5000325791027881-3.199958695292208e-17j), (-0.259549882122236-2.878991101601322e-17j), (-0.09013653043960915+5.548918569193039e-17j), (-9.702190409228476e-06-1.6452831453324692e-17j), (0.051221115588487215-4.411645254541567e-17j), (1.2376997187206582e-06-2.1651653968908896e-16j), (0.017923198607349523+1.4796329009177728e-16j), (5.208774359473954e-06-8.04816683730366e-17j), (-0.02270751044864149-7.728565466853202e-17j), (-0.0034032374354665685-5.5111719544120175e-17j), (4.783784258338077e-07+7.14753665457299e-17j), (-0.007972306865646454+3.1188683268346035e-18j), (-3.301173080425665e-06+1.6416937187136563e-17j), (0.013479646186842557+1.2724152149855666e-16j), (-1.368213717597063e-06+1.5503453434680964e-16j), (0.0015367773370571494-1.2289215791267305e-16j), (-6.800851764125661e-07+2.417746081914132e-17j), (0.00485474016011727+1.3412865041914424e-17j), (2.1937771741865006e-06+1.196027345930858e-16j), (-0.009395364608889746+4.3496669344564883e-17j), (-0.0007502725699281671-8.328779628530941e-17j), (1.2237036987041134e-06+6.362467661160184e-17j), (-0.0010269242230964983+4.01166374239149e-17j), (5.576047513075678e-07+3.77900008710657e-17j), (-0.003618276279865866+8.120321987823003e-17j), (-1.4050388364885798e-06+2.345748612807068e-16j), (0.007180438822195118+2.1618068330715796e-16j), (-1.1190696461335854e-06-1.649348687314316e-16j), (0.0005688922792949057+1.0552139688737087e-16j), (-9.696196976657838e-07+4.573684076187869e-17j), (0.0009158238830149041+2.2229930006942307e-16j), (-4.2617570366665675e-07+1.6387306315974573e-16j), (0.003250439449117848+5.0415869851284576e-17j), (8.043480067226546e-07+5.165553824162477e-17j), (-0.004407513137540749-1.232259574065107e-16j)]"
Ctt_t_dens,"[(0.006678152628535171+9.476438236267896e-08j), (-0.009299787558500134-9.054787083161487e-08j), (0.006309134627853209-5.332734361049697e-08j), (-0.005045962151108544-9.960992214229966e-09j), (-0.004564328157164566-2.451275188631478e-10j), (0.0044962753909184115+4.8072580104661513e-11j), (0.0025302511303405594-1.4640582621679658e-11j), (-0.0015404221433650484-3.695940287199076e-11j), (-0.009416061036789256-9.04902661839906e-13j), (0.00408418490690796-1.2411599622608187e-11j), (0.002278206770815607-1.1738582975699084e-12j), (-0.004995479079607183-5.244634932396372e-14j), (0.003849712375774688-1.4768253219267162e-13j), (-0.004283853479961144-4.9231199111981506e-15j), (-0.002166073229662268+9.16702794077906e-14j), (-0.0011144245763096126-7.397284256264849e-16j), (0.00516643751217824-5.167447774815684e-15j), (-0.0017212939910898164-5.761834045899202e-16j), (0.002688512194397944-6.890506233013903e-16j), (-0.004601762815131574-1.8416377778889147e-16j), (-0.0018216500420050554-5.1124668858823715e-15j), (-0.0020341320905331553+1.281090155477261e-15j), (0.003437118236849865+2.6859805657471326e-16j), (0.00401312548295936-9.167763549951668e-18j), (-0.004308941184450244+4.243372374587899e-18j), (-0.0012881596367321727+6.990425488813273e-18j), (0.002892884774413604-1.1083441525339665e-17j), (-0.0030643443249680122-3.9336135854969944e-16j), (0.004010771427239599-6.429259477827058e-17j), (-0.0032379588148169344+8.087893217020043e-18j), (-9.97857647230319e-05+7.14128219102045e-18j), (0.0009837523036239414+6.6808279155566195e-18j), (0.00010742031729388791-2.911170172492942e-17j), (0.0009177197051329655+3.053089602255226e-17j), (0.005738510319317347+3.0140359552408233e-16j)]"
Ctt_b_dens,"[(0.011623619386997646-7.518659726491968e-07j), (-0.0012311473317317835-9.38033043436884e-08j), (-0.00037317223151035154-5.37867478030479e-08j), (0.00027513115659581706+1.4331258692243856e-08j), (-0.0002982548981628134+7.669502137705825e-10j), (-2.688276368394372e-05+2.62938019157055e-10j), (4.264475506133932e-05+1.6188136690895555e-10j), (-9.34909717970424e-06+2.03942140368175e-10j), (-0.00074051166124283+3.566615072227959e-10j), (7.033114498170172e-05-1.1087275414051454e-10j), (-6.430395852344399e-06+1.5467281504515272e-11j), (3.236791383489971e-05-1.732446301060968e-11j), (-4.835490034723617e-05+9.045991972045273e-11j), (-0.0006287310131406354+2.127946627404513e-10j), (-4.2480213792677145e-06+1.0853946594561551e-11j), (3.5040188843547086e-05-4.949532092385885e-12j), (-7.5031416253091415e-06+1.6003528449709106e-11j), (7.069053094317289e-07+6.951896489821738e-13j), (-5.597045400586185e-05+7.340858550320358e-11j), (-0.0003690692466476512+1.3257311641502407e-10j), (2.4217588130746627e-05-1.6415820312996576e-13j), (-5.473256155725693e-06+3.076717460251617e-12j), (8.908800782979877e-06+1.1758898945151167e-12j), (-1.0741073116203241e-05+1.3579543349613698e-11j), (-1.1035265329340513e-05+1.5577456271647336e-11j), (-5.723987461975532e-05+5.37612962549825e-11j), (-0.00016532929047590546+7.526153079891868e-11j), (-5.28706472956476e-06-4.039298303588937e-12j), (1.3993310853866685e-05-4.4808126784606346e-12j), (-6.861407352864542e-06-2.1340718872596106e-12j), (-6.621837843041055e-06-1.1749113662991817e-12j), (-1.527829418289688e-05+1.3227432966044967e-11j), (1.2744449550956582e-05+2.6284262148771012e-11j), (-6.077967434007418e-05+3.761448800954877e-11j), (-5.325107178630014e-05-2.4947381824865032e-12j)]"
Bt_1b_dens,"[(-0.03069942626482731+2.812709699835965e-05j), (2.5272049723520905e-05+2.517562065913958e-05j), (7.971146479454744e-06+1.0925244525025465e-05j), (0.00303885844860855-1.4311155796009765e-06j), (-5.231538734066124e-06-1.8932896710786047e-06j), (0.00012257270126770305-5.252218574921264e-07j), (1.6264785180813336e-06-1.8553859474984518e-06j), (-0.0008694475713176239-2.305841374960047e-08j), (7.3232549023623225e-06-6.264513818709851e-07j), (1.2565960301740767e-06+6.520573713515154e-08j), (-7.959584707851009e-05+6.376396230107808e-08j), (1.1231359865952545e-06+4.7027624524949724e-07j), (0.0003610609174586563+6.618685260930405e-08j), (-6.895189744597033e-06+1.1333779002220024e-06j), (2.9811834077532915e-05+6.900407994970076e-10j), (-1.0835639230171662e-06+1.3979356882586965e-07j), (4.200054481501975e-05-9.424592699691502e-09j), (-1.7856904813162537e-06-6.708740291090679e-09j), (-0.00017813251363915666-3.9852289300264036e-08j), (5.74701718177686e-06-1.2124269079358337e-06j), (6.275648256728099e-07-1.9465354914206894e-07j), (-1.2928826492047794e-05+8.553508189498817e-09j), (8.872053364334474e-07-2.3669824942212498e-07j), (-2.361371132157594e-05+7.543974042135826e-09j), (1.7924395729604608e-06-2.42760583798869e-07j), (9.34074730692466e-05+2.342539372139256e-08j), (-3.1067829509093752e-06+1.1462949613341818e-06j), (5.260973273283967e-06-9.756463646506884e-09j), (-5.369043837760944e-07+2.2653213309234391e-07j), (6.938732070754362e-06-1.0084772807259957e-08j), (-7.914029529943981e-07+3.2018838671554456e-07j), (1.4635439473083623e-05-8.903832456066639e-09j), (-1.1352467394592661e-06+4.3384278599855747e-07j), (-4.4496649669654976e-05-1.3400387534548075e-08j), (9.610561974833714e-07-1.0832843913657815e-06j)]"
